2016-07-14;2021-07-14;100.000000;2.650000;12;1;2200000;100.9520;1232;160015;H;T00003
2009-08-04;2019-08-04;100.000000;2.150000;6;2;1000000;97.8742;1342;090208;H;SX
2006-11-15;2026-11-15;100.000000;3.950000;12;1;630000;103.7164;1882;068046;H;SX
2016-07-11;2019-07-11;100.000000;2.760000;12;1;500000;100.3720;1322;160307;A;T00005
2016-08-04;2017-08-04;100.000000;2.140000;0;0;1600000;100.5529;1232;160018;H;T00003
2016-08-22;2016-11-21;99.507000;0.000000;0;3;200000;99.9839;1232;169938;H;T00003
2016-07-28;2019-07-28;100.000000;2.430000;12;1;1500000;100.8000;1232;160016;H;T00003
2013-04-11;2018-04-11;100.000000;3.890000;12;1;1000000;103.9412;2142;130220;H;T00003
2013-07-09;2018-07-09;100.000000;5.700000;12;1;150000;105.6484;1872;101356001;A;T00005
2009-12-22;2029-12-22;100.000000;4.700000;6;1;1000000;115.1122;2142;090224;H;SX
2016-02-25;2023-02-25;100.000000;3.240000;12;1;1000000;102.2571;2142;160207;T;T01106
2007-08-16;2027-08-16;100.000000;4.520000;6;1;1600000;115.8956;1232;070013;H;SX
2016-07-27;2017-07-27;100.000000;2.310000;0;0;3600000;100.5893;2352;160419;T;T01106
2016-08-23;2019-08-23;100.000000;2.430000;12;1;24000000;100.1295;2152;1605491;A;T00005
2007-03-22;2017-03-22;100.000000;3.400000;6;1;5100000;100.9755;1232;070003;H;SX
2013-08-29;2018-08-29;99.240000;4.580000;12;1;2000000;103.8051;2142;130238;H;T00003
2008-02-28;2023-02-28;100.000000;4.160000;6;1;600000;108.6199;1232;080002;H;SX
2009-07-23;2019-07-23;100.000000;3.480000;6;1;500000;103.8800;1232;090016;H;SX
2016-07-18;2017-01-16;98.928000;0.000000;0;3;300000;99.6695;1232;169932;H;T00003
2005-10-11;2035-10-11;100.000000;4.010000;6;1;700000;106.6399;2142;050220;H;SX
2016-07-25;2017-07-25;100.000000;2.200000;0;0;300000;100.4705;1322;160308;T;T01106
2016-08-04;2026-08-04;100.000000;2.740000;6;1;2100000;99.5335;1232;160017;H;T00003
2016-08-05;2017-02-05;98.551500;0.000000;0;3;2600000;99.2608;2052;111695983;A;T00005
2006-04-11;2026-04-11;100.000000;3.600000;6;1;200000;103.2699;2142;060203;H;SX
2016-08-15;2017-02-13;98.986000;0.000000;0;3;300000;99.5054;1232;169937;H;T00003
2008-05-08;2038-05-08;100.000000;4.500000;6;1;1400000;119.7630;1232;080006;H;SX
2009-11-05;2019-11-05;100.000000;3.680000;6;1;500000;103.6497;1232;090027;H;SX
